drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
brentuximab-vedotin,Other,2024-03-01,2018-06-13,2088,68.6,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2024,3,https://www.nice.org.uk/guidance/ta524
brentuximab-vedotin,Other,2024-03-01,2019-04-24,1773,58.2,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2024,3,https://www.nice.org.uk/guidance/ta577
brentuximab-vedotin,Other,2024-03-01,2019-08-14,1661,54.6,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2024,3,https://www.nice.org.uk/guidance/ta594
brentuximab-vedotin,Other,2024-03-01,2020-08-12,1297,42.6,NICE (UK first),,brentuximab-vedotin-psd-march-2024.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2024,3,https://www.nice.org.uk/guidance/ta641
brentuximab-vedotin,Other,2018-11-01,2017-06-28,491,16.1,NICE (UK first),,brentuximab-vedotin-psd-november-2018.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2018,11,https://www.nice.org.uk/guidance/ta446
brentuximab-vedotin,Other,2018-11-01,2017-10-04,393,12.9,NICE (UK first),,brentuximab-vedotin-psd-november-2018.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2018,11,https://www.nice.org.uk/guidance/ta478
brentuximab-vedotin,Other,2018-11-01,2018-06-13,141,4.6,NICE (UK first),,brentuximab-vedotin-psd-november-2018.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2018,11,https://www.nice.org.uk/guidance/ta524
brentuximab-vedotin,Other,2018-11-01,2019-04-24,-174,-5.7,PBAC (AUS first),,brentuximab-vedotin-psd-november-2018.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2018,11,https://www.nice.org.uk/guidance/ta577
brentuximab-vedotin,Other,2018-11-01,2019-08-14,-286,-9.4,PBAC (AUS first),,brentuximab-vedotin-psd-november-2018.pdf,594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),14 August 2019,2018,11,https://www.nice.org.uk/guidance/ta594
brentuximab-vedotin,Other,2018-11-01,2020-08-12,-650,-21.4,PBAC (AUS first),,brentuximab-vedotin-psd-november-2018.pdf,641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,12 August 2020,2018,11,https://www.nice.org.uk/guidance/ta641
brigatinib,Other,2019-11-01,2019-03-20,226,7.4,NICE (UK first),,brigatinib-psd-november-2019.pdf,571,Brigatinib for treating ALK-positive advanced non-small-cell lung cancer after crizotinib,20 March 2019,2019,11,https://www.nice.org.uk/guidance/ta571
brigatinib,Other,2019-11-01,2021-01-27,-453,-14.9,PBAC (AUS first),,brigatinib-psd-november-2019.pdf,670,Brigatinib for ALK-positive advanced non-small-cell lung cancer that has not been previously treated with an ALK inhibitor,27 January 2021,2019,11,https://www.nice.org.uk/guidance/ta670
brolucizumab,Other,2020-07-01,2021-02-03,-217,-7.1,PBAC (AUS first),,brolucizumab-psd-july-2020.pdf,672,Brolucizumab for treating wet age-related macular degeneration,03 February 2021,2020,7,https://www.nice.org.uk/guidance/ta672
