atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Dermatologicals,D,2011,services,974153,777971,416056,216301,212306,75047,28127,6908,2706869
Dermatologicals,D,2012,services,1101008,880079,469109,245232,244452,80693,32660,8145,3061378
Dermatologicals,D,2013,services,888034,672856,472894,232567,182555,77459,26916,8175,2561456
Dermatologicals,D,2014,services,1203756,973805,469097,223771,283748,79766,36689,8326,3278958
Dermatologicals,D,2015,services,1176422,955173,505769,249999,257044,87703,36037,9302,3277449
Dermatologicals,D,2016,services,990846,796045,461812,224588,241767,76525,31210,9002,2831795
Dermatologicals,D,2017,services,975702,779160,447269,216745,242208,74660,31295,8396,2775435
Dermatologicals,D,2018,services,978020,781731,456536,217528,243328,74887,32532,8337,2792899
Dermatologicals,D,2019,services,1038398,791187,469385,213089,255933,78690,33247,8580,2888509
Dermatologicals,D,2020,services,1084425,854608,516139,235204,278160,85908,36260,9025,3099729
Dermatologicals,D,2021,services,1038053,838855,516295,231833,277229,83950,37640,9721,3033576
Dermatologicals,D,2022,services,1051773,828501,536348,226639,274063,84146,37085,9701,3048256
Dermatologicals,D,2023,services,1161583,958348,612434,253866,316286,92742,47322,12035,3454616
Dermatologicals,D,2024,services,1247207,982899,610575,251683,327066,93780,50545,12101,3575856
Dermatologicals,D,2025,services,1375166,1064756,718989,281646,373965,104355,54543,12844,3986264
Dermatologicals,D,2026_ytd,services,296003,246781,159346,60485,89312,22753,13630,3152,891462
Dermatologicals,D,TOTAL,services,36892633,28774178,16118946,8194115,8374374,2760603,1067615,296284,102478748
Dermatologicals,D,1994,services,2140535,1354647,1145453,600997,550399,184584,73832,24143,6074590
Dermatologicals,D,1995,services,2188249,1397858,1187668,624506,577931,196410,75120,24852,6272594
Dermatologicals,D,1996,services,2114651,1388418,1202573,625633,598754,196080,78612,25893,6230614
Dermatologicals,D,1997,services,1840036,1194064,1076290,560094,521549,178458,65059,22058,5457608
